0x101dca18	.rdata	docs §93: chassis inertia (%s) mass=%.1f | JOLT(compound) = (%.1f, %.1f, %.1f) | ODE(box %.2fx%.2fx%.2f) = (%.1f, %.1f, %.1f) | ratio = (%.2f, %.2f, %.2f)
0x101dcab4	.rdata	Shadow build skipped (%s): no present wheels found on vehicle
0x101dcaf8	.rdata	Shadow (%s): no driven wheels detected, shadow vehicle will coast only
0x101dcb40	.rdata	Shadow (%s): wheelmodel APPLY mode - VehicleConstraint built but NOT simulated; chassis driven by wheelmodel_core (%zu wheels)
0x101dcbc0	.rdata	Shadow vehicle #%u built (%s): %u wheels (%d driven axle(s)), mass=%.1f, chassis=%.2fx%.2fx%.2f, susp_mult=%.2fx/damp=%.2f, friction=%.2f/%.2f
0x101dcc50	.rdata	Shadow divergence (%s): pos=%.3fm vel=%.3fm/s angle=%.1fdeg (jolt com=[%.1f %.1f %.1f] ode com=[%.1f %.1f %.1f])
0x101dccc8	.rdata	docs §32: no-contact raycast (%s) wheel=%zu bodyPos=(%.2f,%.2f,%.2f) localMPos=(%.3f,%.3f,%.3f) origin=(%.2f,%.2f,%.2f) dir=(%.3f,%.3f,%.3f) normalRayLen=%.3f groundFoundAt=%.3f shortfallBeyondTravel=%.3f hitBody=%u hitLayer=%u hitMotion=%d hitIsSelfChassis=%d
0x101dcdd0	.rdata	docs §32: no-contact raycast (%s) wheel=%zu origin=(%.2f,%.2f,%.2f) dir=(%.3f,%.3f,%.3f) normalRayLen=%.3f - NO GROUND FOUND within %.1fm along this ray at all
0x101dce90	.rdata	docs §39.1: wheelmodel eval (%s) wheel=%zu - no manifold contacts
0x101dced8	.rdata	docs §39.1: wheelmodel eval (%s) wheel=%zu hits=%d groundSlot=%d pen=%.3f F_ground=(%.0f,%.0f,%.0f) |F|=%.0f fpar=%.0f (m=%.1f dt=%.4f)
0x101dcf68	.rdata	docs §44: wm bottomed-out (%s) w=%zu frames=%d preClampFriction=%.0f maxForce=%.0f suspForce=%.0f hardStop=%.0f comp=%.3f compMax=%.3f pen=%.3f
0x101dd000	.rdata	docs §43: wm apply (%s) w=%zu drv=%d n=%d gSlot=%d pen=%.3f comp=%.3f suspF=%.0f omega=%.1f thr=%.2f fwd=(%.2f,%.2f,%.2f) Fg=(%.0f,%.0f,%.0f) fpar=%.0f gear=%d rpm=%.0f maxTq=%.0f muReal=%.3f compMax=%.3f mUnsprung=%.1f soilMu=%.3f
0x101dd0f0	.rdata	docs §51 torque-trace (%s): alphaY fric=%.3f vert=%.3f hardStop=%.3f obstSide=%.3f | torqueY fric=%.0f vert=%.0f hardStop=%.0f obstSide=%.0f | vAngY=%.3f tiltDeg=%.1f
0x101dd198	.rdata	docs §70.1: slipdense (%s) f=%llu w=%zu grounded=%d kappa=%.3f fnGround=%.0f omega=%.2f | ftGround=%.0fN target=%.1f limit=%.0fNm motorNm=%.0f tyreNm=%.0f inertia=%.2f limRot=%.0f/%.0f/%.0f omegaPre=%.2f posN=%.0f/%.0f/%.0f susp=%.4f springN=%.0f
0x101dd2b8	.rdata	docs §59/63: harvest (%s) wheelsWithContact=%u contactPoints=%u overflow=%u (of %u) | maxNormalF=%.0fN bound(k_t*tau)=%.0fN ratio=%.2f%s
